"region";"ålder";"2020"
"10 Blekinge län";"75-79 år";8428
"10 Blekinge län";"80-84 år";5684
"10 Blekinge län";"85-89 år";3198
"10 Blekinge län";"90-94 år";1495
"10 Blekinge län";"95-99 år";374
"10 Blekinge län";"100+ år";41
"12 Skåne län";"18-19 år";30091
"12 Skåne län";"20-24 år";79248
"12 Skåne län";"25-29 år";94897
"12 Skåne län";"30-34 år";98754
"12 Skåne län";"35-39 år";90239
"12 Skåne län";"40-44 år";88197
"12 Skåne län";"45-49 år";89473
"12 Skåne län";"50-54 år";88674
"12 Skåne län";"55-59 år";84157
"12 Skåne län";"60-64 år";73140
"12 Skåne län";"65-69 år";69991
"12 Skåne län";"70-74 år";71048
"12 Skåne län";"75-79 år";59715
"12 Skåne län";"80-84 år";37212
"12 Skåne län";"85-89 år";21372
"12 Skåne län";"90-94 år";10264
"12 Skåne län";"95-99 år";2823
"12 Skåne län";"100+ år";325
"13 Hallands län";"18-19 år";7675
"13 Hallands län";"20-24 år";17216
"13 Hallands län";"25-29 år";19650
"13 Hallands län";"30-34 år";20887
"13 Hallands län";"35-39 år";19510
"13 Hallands län";"40-44 år";19718
"13 Hallands län";"45-49 år";21824
"13 Hallands län";"50-54 år";22411
"13 Hallands län";"55-59 år";21352
"13 Hallands län";"60-64 år";19356
"13 Hallands län";"65-69 år";18578
"13 Hallands län";"70-74 år";19460
"13 Hallands län";"75-79 år";16264
"13 Hallands län";"80-84 år";10204
"13 Hallands län";"85-89 år";5917
"13 Hallands län";"90-94 år";2824
"13 Hallands län";"95-99 år";770
"13 Hallands län";"100+ år";100
"14 Västra Götalands län";"18-19 år";36881
"14 Västra Götalands län";"20-24 år";98367
"14 Västra Götalands län";"25-29 år";126122
"14 Västra Götalands län";"30-34 år";128490
"14 Västra Götalands län";"35-39 år";112010
"14 Västra Götalands län";"40-44 år";105697
"14 Västra Götalands län";"45-49 år";109874
"14 Västra Götalands län";"50-54 år";111347
"14 Västra Götalands län";"55-59 år";107392
"14 Västra Götalands län";"60-64 år";95148
"14 Västra Götalands län";"65-69 år";88657
"14 Västra Götalands län";"70-74 år";89151
"14 Västra Götalands län";"75-79 år";72800
"14 Västra Götalands län";"80-84 år";45435
"14 Västra Götalands län";"85-89 år";27306
"14 Västra Götalands län";"90-94 år";12669
